gps_start,detector,session_id,origin_table,local_cluster_id,global_family_id,max_similarity_to_3a,transitivity_status,gravity_spy_label,gravity_spy_confidence,robustness_class,native_o4a_score,native_score,native_score_idxq4_64_queryq4_64,robustness_class_idxq4_64_queryq4_64
1369302236.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0863956734538078,0.0863956734538078,0.1140232756733894,BACKGROUND
1369302396.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4895952045917511,0.4895952045917511,0.4539784491062164,ROBUST
1369302940.0,L1,1368973312,3a,C0,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.096697449684143,0.096697449684143,0.1017474457621574,BACKGROUND
1369303612.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0704833269119262,0.0704833269119262,0.0825072452425956,BACKGROUND
1369303804.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3355551362037658,0.3355551362037658,0.1384626924991607,BACKGROUND
1369304124.0,L1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0532147660851478,0.0532147660851478,0.1177224814891815,BACKGROUND
1369304636.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4507852494716644,0.4507852494716644,0.4350128769874573,ROBUST
1369304764.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4678858816623688,0.4678858816623688,0.4230715036392212,ROBUST
1369304828.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4393292069435119,0.4393292069435119,0.4099492132663727,ROBUST
1369305276.0,H1,1368973312,3a,C12,Singleton_1369305276,,Confirmed_Local,Not_Found,0.0,ROBUST,0.5454888939857483,0.5454888939857483,0.4300166964530945,ROBUST
1369306172.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0589117854833602,0.0589117854833602,0.0743102431297302,BACKGROUND
1369306556.0,H1,1368973312,3a,C6,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.247761845588684,0.247761845588684,0.190734788775444,AMBIGUOUS
1369306588.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0576004572212696,0.0576004572212696,0.0782225131988525,BACKGROUND
