detector,gps_start,family,aux_channel,max_coherence,peak_freq,significant,data_available,note,dsd_class,dsd_score,taxonomy_representation
L1,1377439420,Family_01,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.3307852458154097,300.0,False,True,,ROBUST,0.430944949388504,idxq4-64_queryq4-64
L1,1377439420,Family_01,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.2702865113642157,256.0,False,True,,ROBUST,0.430944949388504,idxq4-64_queryq4-64
L1,1377439420,Family_01,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.2523216253605191,250.5,False,True,,ROBUST,0.430944949388504,idxq4-64_queryq4-64
L1,1377439420,Family_01,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.2500746147114608,41.0,False,True,,ROBUST,0.430944949388504,idxq4-64_queryq4-64
H1,1383979004,Family_01,H1:CAL-PCALX_RX_PD_OUT_DQ,0.212718772689403,128.0,False,True,,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
H1,1383979004,Family_01,H1:CAL-PCALY_RX_PD_OUT_DQ,0.2609226486662024,180.0,False,True,,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
H1,1383979004,Family_01,H1:IMC-WFS_A_DC_PIT_OUT_DQ,0.2877093879371025,180.0,False,True,,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
H1,1383979004,Family_01,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.5481130199114488,30.0,False,True,,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
H1,1383979004,Family_01,H1:LSC-POP_A_LF_OUT_DQ,0.445725290792626,180.0,False,True,,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
H1,1383979004,Family_01,H1:LSC-REFL_A_RIN_OUT_DQ,0.6833172742523412,180.0,True,True,,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
H1,1383979004,Family_01,H1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.3324147278157943,235.5,False,True,,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
H1,1383979004,Family_01,H1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.2769721587074019,136.5,False,True,,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
H1,1383979004,Family_01,H1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.2021171913904254,66.5,False,True,,ROBUST,0.4341764152050018,idxq4-64_queryq4-64
L1,1389011516,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.8433816957536837,180.0,True,True,,ROBUST,0.4373535215854645,idxq4-64_queryq4-64
L1,1389011516,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.2625147295813474,286.5,False,True,,ROBUST,0.4373535215854645,idxq4-64_queryq4-64
L1,1389011516,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.3803961772295267,180.0,False,True,,ROBUST,0.4373535215854645,idxq4-64_queryq4-64
L1,1389011516,Family_01,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.2784503485536011,27.5,False,True,,ROBUST,0.4373535215854645,idxq4-64_queryq4-64
L1,1389011516,Family_01,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.2522738785570065,252.0,False,True,,ROBUST,0.4373535215854645,idxq4-64_queryq4-64
L1,1389011516,Family_01,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.2925881900649272,28.5,False,True,,ROBUST,0.4373535215854645,idxq4-64_queryq4-64
L1,1389011516,Family_01,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.2035856190318367,218.0,False,True,,ROBUST,0.4373535215854645,idxq4-64_queryq4-64
H1,1374464092,Family_01,H1:CAL-PCALX_RX_PD_OUT_DQ,0.1812096537292118,210.0,False,True,,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
H1,1374464092,Family_01,H1:CAL-PCALY_RX_PD_OUT_DQ,0.6532817776585776,24.5,True,True,,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
H1,1374464092,Family_01,H1:IMC-WFS_A_DC_PIT_OUT_DQ,0.3431058450428928,180.0,False,True,,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
H1,1374464092,Family_01,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.3308298657783347,180.0,False,True,,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
H1,1374464092,Family_01,H1:LSC-POP_A_LF_OUT_DQ,0.5484957754130182,23.0,False,True,,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
H1,1374464092,Family_01,H1:LSC-REFL_A_RIN_OUT_DQ,0.5038093080972503,180.0,False,True,,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
H1,1374464092,Family_01,H1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.1478768772118006,250.0,False,True,,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
H1,1374464092,Family_01,H1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.1192470843884829,169.0,False,True,,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
H1,1374464092,Family_01,H1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.1566324003750632,251.0,False,True,,ROBUST,0.4406278431415558,idxq4-64_queryq4-64
L1,1375260316,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.3360063871595778,180.0,False,True,,ROBUST,0.4438816010951996,idxq4-64_queryq4-64
L1,1375260316,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.1996876578540593,258.0,False,True,,ROBUST,0.4438816010951996,idxq4-64_queryq4-64
L1,1375260316,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.21019079073307,307.5,False,True,,ROBUST,0.4438816010951996,idxq4-64_queryq4-64
