detector,gps_start,family,m_channels,n_windows,n_surrogate_pairs,threshold_fw,cmax_observed,top_channel,top_channel_baseline,threshold_zero_lag,verdict,dsd_class,dsd_score,taxonomy_representation,top_channel_class,verdict_tier
H1,1388314268,Family_01,9,109,11772,0.876930832862854,0.9136043364775536,H1:LSC-REFL_A_RIN_OUT_DQ,0.7960056066513062,0.9748743176460266,COUPLED,BACKGROUND,0.1012685894966125,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1388328060,Family_01,9,118,13806,0.8699198961257935,0.8767377417654144,H1:LSC-REFL_A_RIN_OUT_DQ,0.827202558517456,0.9767142534255981,COUPLED,BACKGROUND,0.0903052985668182,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1388368796,Family_01,9,133,17556,0.8668739199638367,0.9252231315251108,H1:LSC-REFL_A_RIN_OUT_DQ,0.752668023109436,0.9740581512451172,COUPLED,BACKGROUND,0.1284635514020919,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1388414492,Family_01,9,146,21170,0.8477512001991272,0.6091877298708277,H1:LSC-REFL_A_RIN_OUT_DQ,0.7998875975608826,0.9749089479446411,NO_CORRELATION,ROBUST,0.3899151384830475,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1388669948,Family_01,9,75,5550,0.8824495673179626,0.7815792625166581,H1:LSC-REFL_A_RIN_OUT_DQ,0.7744040489196777,0.9783661365509033,NO_CORRELATION,BACKGROUND,0.1083390042185783,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1389002364,Family_01,9,128,16256,0.9214081168174744,0.9688440076502196,H1:LSC-REFL_A_RIN_OUT_DQ,0.9204824566841125,0.9832119345664978,COUPLED,BACKGROUND,0.1111408025026321,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1389013852,Family_01,9,130,16770,0.8896905183792114,0.9747714186148652,H1:LSC-REFL_A_RIN_OUT_DQ,0.848450243473053,0.982245683670044,COUPLED,BACKGROUND,0.0920632034540176,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1389040412,Family_01,9,133,17556,0.9274867177009583,0.9785176376220592,H1:LSC-REFL_A_RIN_OUT_DQ,0.921981930732727,0.9795259237289429,COUPLED,BACKGROUND,0.110229954123497,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1389305436,Family_01,9,127,16002,0.8637010455131531,0.7546725518243381,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.7813661694526672,0.9684988260269165,NO_CORRELATION,BACKGROUND,0.1176193207502365,idxq4-64_queryq4-64,IMC,NO_CORRELATION
H1,1389430300,Family_01,9,128,16256,0.903382420539856,0.92281669169004,H1:LSC-REFL_A_RIN_OUT_DQ,0.8355764746665955,0.9694259762763977,COUPLED,BACKGROUND,0.1125234961509704,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1389440476,Family_01,9,132,17292,0.9032490849494934,0.7105995444368155,H1:LSC-REFL_A_RIN_OUT_DQ,0.8587934970855713,0.9752157330513,NO_CORRELATION,AMBIGUOUS,0.1311733126640319,idxq4-64_queryq4-64,LSC,NO_CORRELATION
L1,1369271388,Family_01,7,118,13806,0.7763522267341614,0.9440567981084504,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.20601549744606018,0.8888114094734192,COUPLED,AMBIGUOUS,0.1648580282926559,idxq4-64_queryq4-64,CAL_LINE,COUPLED
L1,1369298588,Family_01,7,105,10920,0.8215904235839844,0.6956150388702694,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.35916030406951904,0.8542376756668091,NO_CORRELATION,BACKGROUND,0.0716033801436424,idxq4-64_queryq4-64,IMC,NO_CORRELATION
L1,1369327228,Family_01,7,109,11772,0.7080204486846924,0.9188864866256972,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.23507709801197052,0.8047647476196289,COUPLED,BACKGROUND,0.092566505074501,idxq4-64_queryq4-64,CAL_LINE,COUPLED
L1,1369524060,Family_01,7,117,13572,0.8352063298225403,0.2615617322703349,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.29678067564964294,0.8952098488807678,NO_CORRELATION,AMBIGUOUS,0.1870284676551818,idxq4-64_queryq4-64,ASC,NO_CORRELATION
L1,1369630976,Family_01,7,122,14762,0.8315631151199341,0.3028194870833139,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.5056793093681335,0.9175706505775452,NO_CORRELATION,BACKGROUND,0.0628662556409835,idxq4-64_queryq4-64,IMC,NO_CORRELATION
L1,1370012284,Family_01,7,121,14520,0.8736236095428467,0.709240533036378,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.31926485896110535,0.8834353685379028,NO_CORRELATION,BACKGROUND,0.0760701522231102,idxq4-64_queryq4-64,IMC,NO_CORRELATION
L1,1370281212,Family_01,7,136,18360,0.7863207459449768,0.8707534358942567,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.26358646154403687,0.9361445307731628,COUPLED,BACKGROUND,0.1482953578233719,idxq4-64_queryq4-64,CAL_LINE,SUSPECT
L1,1370798972,Family_01,7,128,16256,0.746126651763916,0.4225903778014783,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.2298649251461029,0.8521023988723755,NO_CORRELATION,BACKGROUND,0.115598440170288,idxq4-64_queryq4-64,CAL_LINE,NO_CORRELATION
