candidate_id,gps_start,detector,legacy_class,score,class,variant
1374992636.0_L1,1374992636.0,L1,ROBUST,0.2374833673238754,ROBUST,idxq4-64_queryq4-64
1375005404.0_L1,1375005404.0,L1,ROBUST,0.4266040921211242,ROBUST,idxq4-64_queryq4-64
1375007004.0_L1,1375007004.0,L1,ROBUST,0.455042153596878,ROBUST,idxq4-64_queryq4-64
1375007868.0_H1,1375007868.0,H1,ROBUST,0.2734390199184418,ROBUST,idxq4-64_queryq4-64
1375074716.0_H1,1375074716.0,H1,ROBUST,0.3842180967330932,ROBUST,idxq4-64_queryq4-64
1375075868.0_L1,1375075868.0,L1,ROBUST,0.2260715812444687,ROBUST,idxq4-64_queryq4-64
1375075900.0_L1,1375075900.0,L1,BACKGROUND,0.1390638351440429,BACKGROUND,idxq4-64_queryq4-64
1375076316.0_L1,1375076316.0,L1,ROBUST,0.4440650939941406,ROBUST,idxq4-64_queryq4-64
1375076412.0_L1,1375076412.0,L1,ROBUST,0.4362335205078125,ROBUST,idxq4-64_queryq4-64
1375081308.0_H1,1375081308.0,H1,ROBUST,0.4964433014392853,ROBUST,idxq4-64_queryq4-64
1375082108.0_L1,1375082108.0,L1,ROBUST,0.4410201609134674,ROBUST,idxq4-64_queryq4-64
1375082684.0_H1,1375082684.0,H1,ROBUST,0.4385526478290558,ROBUST,idxq4-64_queryq4-64
1375084220.0_L1,1375084220.0,L1,ROBUST,0.4395714402198791,ROBUST,idxq4-64_queryq4-64
1375086076.0_L1,1375086076.0,L1,BACKGROUND,0.1336654275655746,BACKGROUND,idxq4-64_queryq4-64
1375090076.0_H1,1375090076.0,H1,ROBUST,0.4300285875797272,ROBUST,idxq4-64_queryq4-64
1375090940.0_H1,1375090940.0,H1,ROBUST,0.4759291410446167,ROBUST,idxq4-64_queryq4-64
1375091420.0_H1,1375091420.0,H1,ROBUST,0.4612268507480621,ROBUST,idxq4-64_queryq4-64
1375091452.0_H1,1375091452.0,H1,ROBUST,0.4261004030704498,ROBUST,idxq4-64_queryq4-64
1375142780.0_L1,1375142780.0,L1,BACKGROUND,0.0811519399285316,BACKGROUND,idxq4-64_queryq4-64
1375143068.0_L1,1375143068.0,L1,ROBUST,0.4778943955898285,ROBUST,idxq4-64_queryq4-64
1375143804.0_L1,1375143804.0,L1,AMBIGUOUS,0.2182849198579788,AMBIGUOUS,idxq4-64_queryq4-64
1375144284.0_L1,1375144284.0,L1,ROBUST,0.4639882147312164,ROBUST,idxq4-64_queryq4-64
1375144508.0_L1,1375144508.0,L1,ROBUST,0.415479302406311,ROBUST,idxq4-64_queryq4-64
1375144892.0_L1,1375144892.0,L1,ROBUST,0.4708356261253357,ROBUST,idxq4-64_queryq4-64
1375151388.0_H1,1375151388.0,H1,ROBUST,0.4833854138851166,ROBUST,idxq4-64_queryq4-64
1375152924.0_L1,1375152924.0,L1,ROBUST,0.4181468486785888,ROBUST,idxq4-64_queryq4-64
1375154588.0_L1,1375154588.0,L1,ROBUST,0.4600766897201538,ROBUST,idxq4-64_queryq4-64
1375156380.0_L1,1375156380.0,L1,ROBUST,0.4404672384262085,ROBUST,idxq4-64_queryq4-64
1375156636.0_L1,1375156636.0,L1,ROBUST,0.4435316026210785,ROBUST,idxq4-64_queryq4-64
1375157244.0_L1,1375157244.0,L1,ROBUST,0.4439912140369415,ROBUST,idxq4-64_queryq4-64
1375160828.0_H1,1375160828.0,H1,AMBIGUOUS,0.1495370417833328,AMBIGUOUS,idxq4-64_queryq4-64
1375162268.0_L1,1375162268.0,L1,ROBUST,0.4241127371788025,ROBUST,idxq4-64_queryq4-64
1375164220.0_L1,1375164220.0,L1,ROBUST,0.3541233241558075,ROBUST,idxq4-64_queryq4-64
1375164380.0_L1,1375164380.0,L1,ROBUST,0.4492548704147339,ROBUST,idxq4-64_queryq4-64
