gps_start,analysis_start,detector,pad_s,score,stored_pad4_score,pad4_anchor_abs_delta,fixed_pad4_threshold_class,pad_specific_threshold_class,pad_specific_ci_lower,pad_specific_ci_upper,representation
1384421724,1384421728.0,H1,128.0,0.11988651007413864,0.1301677972078323,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1372857980,1372857984.0,H1,4.0,0.13015925884246826,0.1301591843366623,7.450580596923828e-08,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1372857980,1372857984.0,H1,16.0,0.1310298591852188,0.1301591843366623,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1372857980,1372857984.0,H1,64.0,0.12499579042196274,0.1301591843366623,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1372857980,1372857984.0,H1,128.0,0.13126499950885773,0.1301591843366623,,AMBIGUOUS,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1384783964,1384783968.0,H1,4.0,0.13001035153865814,0.1300102174282074,1.341104507446289e-07,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1384783964,1384783968.0,H1,16.0,0.11531654000282288,0.1300102174282074,,BACKGROUND,BACKGROUND,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1384783964,1384783968.0,H1,64.0,0.11388475447893143,0.1300102174282074,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1384783964,1384783968.0,H1,128.0,0.10999280959367752,0.1300102174282074,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1374849628,1374849632.0,H1,4.0,0.12994059920310974,0.1299405843019485,1.4901161249358807e-08,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
