shift_id,offset_s,covered_any,covered_both,overlap_any,overlap_both
532,7962534.008705334,115,69,2,0
533,13101310.03572189,105,73,3,0
534,304252.72310804285,108,72,2,0
535,4331859.3078308785,115,82,5,0
536,10749683.221337954,111,66,2,0
537,3411795.9863557694,110,70,5,0
538,3455570.3100894946,109,73,6,0
539,17069733.01077801,115,72,1,0
540,20173317.365297586,109,64,1,0
541,11376804.75663052,110,72,4,0
542,17125892.466853485,118,81,1,0
543,20197456.23047221,118,69,2,0
544,2961872.666699249,97,67,1,0
545,9189192.61572406,113,79,1,0
546,8058609.684231373,107,77,2,0
547,1712008.832573267,114,78,2,0
548,15425343.017046552,107,79,4,0
549,8895410.97525629,109,76,0,0
550,9617303.648764992,114,75,1,0
551,3146206.4830097565,109,75,2,0
552,3760586.0828435775,111,82,3,0
553,18507497.51729955,106,71,1,0
554,993115.8392540659,114,77,5,0
555,4815071.0617228085,119,65,1,0
556,6017424.056295316,115,84,3,0
557,10041135.612074457,113,64,1,0
558,11995693.99551527,109,71,2,0
559,10103935.513584998,106,68,0,0
560,1794580.5680473375,110,79,2,0
561,5034701.189981809,107,68,0,0
562,17217655.48240378,111,75,1,0
563,13034296.293836355,112,80,0,0
564,13269059.25050679,114,83,2,0
565,13696619.628373176,106,76,2,0
566,15579129.34944714,108,69,2,0
567,1266443.803406464,112,80,2,0
568,7531336.437857519,116,72,0,0
569,11042907.344320066,110,70,3,0
570,6959638.880208778,113,74,5,0
571,17235739.16716687,115,74,2,0
572,9886289.475387331,113,68,2,0
573,15695381.635705288,105,69,0,0
574,17388790.310616028,105,74,2,0
575,10337503.518211078,107,75,2,0
576,18557223.147641826,110,68,2,0
577,12009478.134848787,116,74,2,0
578,17353430.350995686,112,64,1,0
579,7002981.640554438,117,72,2,0
580,10216175.267073989,116,80,3,0
581,10878082.856304562,111,76,4,0
582,2218286.078531043,117,64,1,0
583,8180044.885092206,109,80,2,0
584,18715326.51911042,109,69,4,0
585,12897088.804431042,114,76,2,0
586,3691132.673496961,99,60,1,0
587,6967744.705705614,113,76,4,0
588,3977397.279026243,119,78,1,0
589,590498.2313126917,107,85,3,0
590,18920896.007116374,116,71,5,0
591,9188415.139309244,113,82,2,0
592,6331699.236692357,108,72,0,0
593,12240035.41527789,107,80,2,0
594,234939.05261604433,113,70,2,0
595,5732361.732006687,108,68,3,0
596,14363322.408026831,111,78,0,0
597,12956743.043581365,119,82,3,2
598,20024522.46031479,108,74,2,0
599,12684376.224651694,115,77,4,0
600,9783398.279282546,116,73,2,0
601,15549267.920115553,109,81,4,0
602,18430821.092697203,114,77,2,0
603,14722005.007577596,114,79,1,0
604,19646908.24335138,110,78,2,0
605,15967048.205282608,112,71,2,0
606,17689056.887647897,112,71,1,0
607,2403579.8359688306,119,76,0,0
608,14959960.453396643,114,77,1,0
609,9023545.274521992,111,70,3,0
610,11318610.777847212,110,76,4,0
611,13369650.090803908,112,75,4,0
612,19781017.464010023,116,78,2,0
613,20080817.84648086,110,69,2,0
614,5939623.918070185,109,79,6,0
615,14987172.524570227,111,71,1,0
616,15316765.69497426,104,74,1,0
617,7122838.43040087,112,76,4,0
618,2601897.840032655,117,80,4,0
619,917934.4906982826,112,75,3,0
620,15872373.296611546,112,77,1,0
621,10031026.476920998,111,71,4,0
622,20100355.546035163,112,80,0,0
623,9528894.95899823,115,73,0,0
624,19945546.844239917,112,77,1,0
625,8444520.82215609,113,77,3,0
626,16204179.640711699,116,80,1,0
627,1808875.8543997607,119,79,1,0
628,11366494.224793654,114,74,3,0
629,16374309.330191294,112,72,2,0
630,18864871.57723461,106,78,2,0
631,16791088.371022552,109,80,1,0
632,837186.7397105657,112,79,2,0
633,7655090.066320635,106,73,1,0
634,1075349.096360766,112,72,2,0
635,2305661.055037998,109,77,4,0
636,13800236.5847278,111,77,2,0
637,14570962.147419441,109,74,3,0
638,15798810.137046926,113,79,4,0
639,17661745.39529518,114,80,2,0
640,15102478.489233572,108,73,3,0
641,16350179.943864642,112,73,0,0
642,1080735.4336072255,106,69,0,0
643,4849246.021101715,115,75,3,0
644,12715651.22259514,115,69,0,0
645,17512865.436199058,112,76,1,0
646,177786.73722462158,116,75,4,0
647,10537286.827961985,110,69,4,0
648,13840481.591332432,114,77,6,0
649,687652.9847082257,104,70,3,0
650,8236968.12057118,108,73,7,0
651,18274594.91718756,111,88,3,0
652,13725244.277121237,112,72,2,0
653,4912670.979781666,106,70,1,0
654,17404338.06811303,108,74,2,0
655,7154082.9340310525,111,75,1,0
656,17415782.243725102,107,68,1,0
657,6157228.089462286,116,76,4,0
658,12074387.526834637,117,84,1,0
659,8147300.119795916,111,76,2,0
660,5667437.200713599,113,73,2,0
661,18090256.349561453,119,74,2,0
662,3895977.455354414,113,76,0,0
663,1808719.8701793826,119,79,3,0
664,7030115.497209853,114,76,0,0
665,14659928.754645897,117,81,6,0
666,16483398.081523938,116,78,4,0
667,20368480.86196783,112,77,0,0
668,6104802.108959933,111,73,0,0
669,8370721.966793626,111,69,2,0
670,2864911.785714439,112,77,2,0
671,11760669.198012717,115,70,1,0
672,20344856.36472042,113,82,4,0
673,14319611.201126285,106,73,3,0
674,12173744.277978588,116,77,0,0
675,8054474.591418624,106,72,1,0
676,18673921.104374934,122,80,2,0
677,10177583.467576684,105,76,5,0
678,2815069.5287963278,112,76,3,0
679,7506359.679262723,113,75,0,0
680,1450393.844292911,111,72,2,0
681,4188109.5057687005,109,67,1,0
682,445210.5370338171,109,79,1,0
683,9291427.232318718,120,71,4,0
684,12972389.884535115,114,75,3,0
685,7057846.009005907,114,73,2,0
686,8623344.863020565,101,60,3,0
687,19565638.22921851,118,75,3,0
688,15356966.287694754,111,78,3,0
689,11069900.240423292,111,60,2,0
690,5864742.275420902,116,77,1,0
691,18302252.19076248,113,91,4,0
692,4860658.21076568,111,78,0,0
693,6693330.034240471,116,72,4,0
694,18547324.62537547,102,66,3,0
695,10840128.241907135,105,69,2,0
696,15161095.989600504,107,72,0,0
697,12083008.981960097,117,82,4,0
698,13356182.080881223,111,76,0,0
699,6166156.130766472,119,79,2,0
700,4988087.27868962,104,67,0,0
701,6635445.589362387,117,81,3,0
702,3243045.10678051,113,73,3,0
703,17841626.404579602,110,78,4,0
704,5838465.421670017,116,75,3,0
705,11488902.026009558,113,80,4,0
706,16169499.836000968,109,75,4,0
707,16003986.483558241,104,66,3,0
708,8988972.784824356,123,89,3,0
709,9758042.91985579,111,80,2,0
710,20286405.23667291,122,84,3,0
711,13785855.72349923,113,79,2,0
712,16629751.647460714,114,73,3,0
713,18415104.985316474,109,74,3,0
714,16080459.358210929,111,64,1,0
715,3846948.065579069,111,82,0,0
716,11502738.392449122,115,84,2,0
717,2155625.7890808517,119,76,4,0
718,13345681.377411054,111,71,3,0
719,19487254.04786679,113,72,1,0
720,10498757.668980941,109,78,2,0
721,8879032.19616147,104,79,4,0
722,814280.2586994906,115,79,1,0
723,19577117.089652874,118,85,1,0
