selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
68,1369314180.0,1369314212.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.0585720837116241,362,run_spanning_complete_raw_blocks_within_block_even_spacing
69,1369314308.0,1369314340.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.0624497793614864,362,run_spanning_complete_raw_blocks_within_block_even_spacing
70,1369655556.0,1369655588.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.0562371872365474,6,run_spanning_complete_raw_blocks_within_block_even_spacing
71,1369655620.0,1369655652.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.0612014755606651,6,run_spanning_complete_raw_blocks_within_block_even_spacing
72,1369655748.0,1369655780.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.0522593110799789,6,run_spanning_complete_raw_blocks_within_block_even_spacing
73,1369655876.0,1369655908.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.0559711083769798,6,run_spanning_complete_raw_blocks_within_block_even_spacing
74,1369656004.0,1369656036.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.0799090191721916,6,run_spanning_complete_raw_blocks_within_block_even_spacing
75,1369656068.0,1369656100.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.0765499845147132,6,run_spanning_complete_raw_blocks_within_block_even_spacing
76,1369656196.0,1369656228.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.0668074563145637,6,run_spanning_complete_raw_blocks_within_block_even_spacing
77,1369656324.0,1369656356.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.0544845275580883,6,run_spanning_complete_raw_blocks_within_block_even_spacing
78,1369656452.0,1369656484.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.063243567943573,6,run_spanning_complete_raw_blocks_within_block_even_spacing
79,1369656580.0,1369656612.0,E:\o4a\1369491712\H1_1369655552_1369659648.hdf5,1369655552.0,1369659648.0,H1,O4a,0.0731798112392425,6,run_spanning_complete_raw_blocks_within_block_even_spacing
80,1370137092.0,1370137124.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.0670040622353553,12,run_spanning_complete_raw_blocks_within_block_even_spacing
81,1370137156.0,1370137188.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.113425888121128,12,run_spanning_complete_raw_blocks_within_block_even_spacing
82,1370137284.0,1370137316.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.0559386350214481,12,run_spanning_complete_raw_blocks_within_block_even_spacing
83,1370137412.0,1370137444.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.0629283264279365,12,run_spanning_complete_raw_blocks_within_block_even_spacing
84,1370137540.0,1370137572.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.0579716861248016,12,run_spanning_complete_raw_blocks_within_block_even_spacing
85,1370137604.0,1370137636.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.056905660778284,12,run_spanning_complete_raw_blocks_within_block_even_spacing
86,1370137732.0,1370137764.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.0528489388525486,12,run_spanning_complete_raw_blocks_within_block_even_spacing
87,1370137860.0,1370137892.0,E:\o4a\1370010112\H1_1370137088_1370141184.hdf5,1370137088.0,1370141184.0,H1,O4a,0.0802107006311416,12,run_spanning_complete_raw_blocks_within_block_even_spacing
