candidate_key,gps_start,detector,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,autoencoder_percentile_mean,autoencoder_percentile_seed_42,autoencoder_mse_seed_42,autoencoder_percentile_seed_314159,autoencoder_mse_seed_314159,autoencoder_percentile_seed_271828,autoencoder_mse_seed_271828
H1:1379117824,1379117824.0,H1,AMBIGUOUS,0.20284403860569,0.989821882951654,0.9923664122137404,1.4260369539260864,0.9923664122137404,1.4398161172866821,0.9847328244274809,1.4438588619232178
H1:1382704956,1382704956.0,H1,AMBIGUOUS,0.2028253525495529,0.9872773536895675,0.9923664122137404,1.4078844785690308,0.9923664122137404,1.613402009010315,0.9770992366412213,1.2757771015167236
H1:1380262076,1380262076.0,H1,AMBIGUOUS,0.2026242166757583,0.5954198473282443,0.5954198473282443,0.932308554649353,0.5877862595419847,0.9157450199127197,0.6030534351145038,0.9361419081687927
H1:1382390492,1382390492.0,H1,AMBIGUOUS,0.2022404372692108,0.34096692111959287,0.3053435114503817,0.8457694053649902,0.3893129770992366,0.8530126810073853,0.3282442748091603,0.8534858822822571
H1:1378180444,1378180444.0,H1,AMBIGUOUS,0.2020144015550613,0.5292620865139949,0.4732824427480916,0.8947551846504211,0.5954198473282443,0.9184232950210571,0.5190839694656488,0.9114072918891907
H1:1382991388,1382991388.0,H1,AMBIGUOUS,0.2019733190536499,0.5012722646310431,0.5038167938931297,0.9034335017204285,0.5114503816793893,0.8990836143493652,0.48854961832061067,0.9033180475234985
H1:1377650076,1377650076.0,H1,AMBIGUOUS,0.2017805129289627,0.9847328244274808,0.9847328244274809,1.2054775953292847,0.9923664122137404,1.191072702407837,0.9770992366412213,1.1998322010040283
H1:1372160252,1372160252.0,H1,AMBIGUOUS,0.2011810541152954,0.9770992366412213,0.9770992366412213,1.1569664478302002,0.9770992366412213,1.144068717956543,0.9770992366412213,1.183762788772583
H1:1370929084,1370929084.0,H1,AMBIGUOUS,0.2010771185159683,0.04580152671755725,0.03816793893129771,0.7388781309127808,0.04580152671755725,0.7358720302581787,0.05343511450381679,0.7513823509216309
H1:1387526940,1387526940.0,H1,AMBIGUOUS,0.2010458409786224,0.9389312977099236,0.9618320610687023,1.06492280960083,0.9389312977099237,1.054504156112671,0.916030534351145,1.0496275424957275
H1:1378892604,1378892604.0,H1,AMBIGUOUS,0.2007082849740982,0.20610687022900764,0.22137404580152673,0.8130601644515991,0.20610687022900764,0.8126503825187683,0.19083969465648856,0.8086771965026855
H1:1372831452,1372831452.0,H1,AMBIGUOUS,0.2003607302904129,0.8498727735368957,0.8473282442748091,1.010070562362671,0.8320610687022901,1.0002537965774536,0.8702290076335878,1.021974802017212
H1:1377426460,1377426460.0,H1,AMBIGUOUS,0.199910283088684,0.9109414758269719,0.8854961832061069,1.0335807800292969,0.9389312977099237,1.0474693775177002,0.9083969465648855,1.045886516571045
H1:1375104380,1375104380.0,H1,AMBIGUOUS,0.1997548788785934,0.3486005089058524,0.3511450381679389,0.8587595224380493,0.3893129770992366,0.8605914115905762,0.3053435114503817,0.8385758399963379
H1:1372734812,1372734812.0,H1,AMBIGUOUS,0.1996074318885803,0.07379134860050891,0.06870229007633588,0.7610509395599365,0.06870229007633588,0.7701467275619507,0.08396946564885496,0.7743273377418518
H1:1372177884,1372177884.0,H1,AMBIGUOUS,0.1993211954832077,0.9185750636132314,0.916030534351145,1.040352702140808,0.9236641221374046,1.0341477394104004,0.916030534351145,1.0512161254882812
H1:1388157724,1388157724.0,H1,AMBIGUOUS,0.1992386430501938,0.9669211195928753,0.9694656488549618,1.0969243049621582,0.9618320610687023,1.0962213277816772,0.9694656488549618,1.1263072490692139
H1:1386355452,1386355452.0,H1,AMBIGUOUS,0.1991889923810959,0.8244274809160306,0.8473282442748091,1.0102486610412598,0.816793893129771,0.9908558130264282,0.8091603053435115,1.003335952758789
H1:1379117660,1379117660.0,H1,AMBIGUOUS,0.1988924294710159,0.9872773536895675,0.9847328244274809,1.351257562637329,0.9923664122137404,1.339370608329773,0.9847328244274809,1.3869340419769287
H1:1375529916,1375529916.0,H1,AMBIGUOUS,0.1986145973205566,0.9491094147582696,0.9694656488549618,1.072603464126587,0.9389312977099237,1.0463923215866089,0.9389312977099237,1.0803518295288086
H1:1386558780,1386558780.0,H1,AMBIGUOUS,0.1983190476894378,0.04071246819338422,0.04580152671755725,0.7443227767944336,0.04580152671755725,0.7231160402297974,0.030534351145038167,0.7287554740905762
H1:1377640572,1377640572.0,H1,AMBIGUOUS,0.198015421628952,0.2849872773536896,0.29770992366412213,0.8449891805648804,0.32061068702290074,0.8381311297416687,0.2366412213740458,0.8181365728378296
H1:1377426428,1377426428.0,H1,AMBIGUOUS,0.1979487389326095,0.7201017811704834,0.7175572519083969,0.9617022275924683,0.7404580152671756,0.9665666222572327,0.7022900763358778,0.9678346514701843
H1:1373252284,1373252284.0,H1,AMBIGUOUS,0.1978464126586914,0.7455470737913487,0.7251908396946565,0.9673417806625366,0.7480916030534351,0.9672544598579407,0.7633587786259542,0.9827998876571655
H1:1379117884,1379117884.0,H1,AMBIGUOUS,0.1978085786104202,0.989821882951654,0.9923664122137404,1.4191559553146362,0.9923664122137404,1.360548734664917,0.9847328244274809,1.387932538986206
H1:1373084540,1373084540.0,H1,AMBIGUOUS,0.1976606100797653,0.23155216284987276,0.29770992366412213,0.8427292704582214,0.22137404580152673,0.8202308416366577,0.17557251908396945,0.8058505654335022
H1:1383259740,1383259740.0,H1,AMBIGUOUS,0.197254866361618,0.10178117048346054,0.12213740458015267,0.7842353582382202,0.06870229007633588,0.7707368731498718,0.11450381679389313,0.7849308252334595
H1:1378153404,1378153404.0,H1,AMBIGUOUS,0.1962457746267318,0.050890585241730284,0.03816793893129771,0.7335375547409058,0.05343511450381679,0.7415657043457031,0.061068702290076333,0.7578212022781372
H1:1373004892,1373004892.0,H1,AMBIGUOUS,0.1961318999528885,0.7455470737913487,0.7099236641221374,0.9601202011108398,0.7480916030534351,0.9676755666732788,0.7786259541984732,0.9886641502380371
H1:1386092764,1386092764.0,H1,AMBIGUOUS,0.1956159323453903,0.5241730279898219,0.5267175572519084,0.9106200933456421,0.5267175572519084,0.9022841453552246,0.5190839694656488,0.9159113168716431
H1:1381379804,1381379804.0,H1,AMBIGUOUS,0.1954371929168701,0.9211195928753181,0.9312977099236641,1.0547630786895752,0.9389312977099237,1.0504341125488281,0.8931297709923665,1.0374038219451904
H1:1379112348,1379112348.0,H1,AMBIGUOUS,0.1952331513166427,0.9745547073791349,0.9770992366412213,1.165401577949524,0.9770992366412213,1.1490588188171387,0.9694656488549618,1.118021011352539
H1:1374403036,1374403036.0,H1,AMBIGUOUS,0.1951780766248703,0.6463104325699746,0.6030534351145038,0.9351146221160889,0.6564885496183206,0.9393956065177917,0.6793893129770993,0.9586089849472046
H1:1377442908,1377442908.0,H1,AMBIGUOUS,0.1949282586574554,0.9338422391857506,0.9312977099236641,1.0537610054016113,0.9312977099236641,1.0400702953338623,0.9389312977099237,1.068464756011963
