selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
83,1370209604.0,1370209636.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0611661411821842,22,run_spanning_complete_raw_blocks_within_block_even_spacing
84,1370209732.0,1370209764.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0652826875448226,22,run_spanning_complete_raw_blocks_within_block_even_spacing
85,1370209796.0,1370209828.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0656505450606346,22,run_spanning_complete_raw_blocks_within_block_even_spacing
86,1370209924.0,1370209956.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0611468218266963,22,run_spanning_complete_raw_blocks_within_block_even_spacing
87,1370210052.0,1370210084.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0565594099462032,22,run_spanning_complete_raw_blocks_within_block_even_spacing
88,1370210180.0,1370210212.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0580788850784301,22,run_spanning_complete_raw_blocks_within_block_even_spacing
89,1370210308.0,1370210340.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0661620572209358,22,run_spanning_complete_raw_blocks_within_block_even_spacing
90,1370465860.0,1370465892.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.0568366460502147,27,run_spanning_complete_raw_blocks_within_block_even_spacing
91,1370465924.0,1370465956.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.0552509762346744,27,run_spanning_complete_raw_blocks_within_block_even_spacing
92,1370466052.0,1370466084.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.0641518235206604,27,run_spanning_complete_raw_blocks_within_block_even_spacing
93,1370466180.0,1370466212.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.063864454627037,27,run_spanning_complete_raw_blocks_within_block_even_spacing
94,1370466308.0,1370466340.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.0700539350509643,27,run_spanning_complete_raw_blocks_within_block_even_spacing
95,1370466372.0,1370466404.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.0731721892952919,27,run_spanning_complete_raw_blocks_within_block_even_spacing
96,1370466500.0,1370466532.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.0563076958060264,27,run_spanning_complete_raw_blocks_within_block_even_spacing
97,1370466628.0,1370466660.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.0564675703644752,27,run_spanning_complete_raw_blocks_within_block_even_spacing
98,1370466756.0,1370466788.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.0686832070350647,27,run_spanning_complete_raw_blocks_within_block_even_spacing
99,1370466884.0,1370466916.0,E:\o4a\1370010112\L1_1370464768_1370468864.hdf5,1370464768.0,1370468864.0,L1,O4a,0.0587784275412559,27,run_spanning_complete_raw_blocks_within_block_even_spacing
100,1370722116.0,1370722148.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.061155017465353,32,run_spanning_complete_raw_blocks_within_block_even_spacing
101,1370722180.0,1370722212.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.0646390542387962,32,run_spanning_complete_raw_blocks_within_block_even_spacing
102,1370722308.0,1370722340.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.0688968524336814,32,run_spanning_complete_raw_blocks_within_block_even_spacing
103,1370722436.0,1370722468.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.0611323751509189,32,run_spanning_complete_raw_blocks_within_block_even_spacing
104,1370722564.0,1370722596.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.0559771507978439,32,run_spanning_complete_raw_blocks_within_block_even_spacing
105,1370722628.0,1370722660.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.0604420565068721,32,run_spanning_complete_raw_blocks_within_block_even_spacing
106,1370722756.0,1370722788.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.0595069788396358,32,run_spanning_complete_raw_blocks_within_block_even_spacing
107,1370722884.0,1370722916.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.0622025169432163,32,run_spanning_complete_raw_blocks_within_block_even_spacing
108,1370723012.0,1370723044.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.057206779718399,32,run_spanning_complete_raw_blocks_within_block_even_spacing
109,1370723140.0,1370723172.0,E:\o4a\1370528512\L1_1370721024_1370725120.hdf5,1370721024.0,1370725120.0,L1,O4a,0.0808968767523765,32,run_spanning_complete_raw_blocks_within_block_even_spacing
110,1371094724.0,1371094756.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.062927596271038,38,run_spanning_complete_raw_blocks_within_block_even_spacing
111,1371094788.0,1371094820.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.0604941584169864,38,run_spanning_complete_raw_blocks_within_block_even_spacing
112,1371094916.0,1371094948.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.0687591210007667,38,run_spanning_complete_raw_blocks_within_block_even_spacing
113,1371095044.0,1371095076.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.4182992577552795,38,run_spanning_complete_raw_blocks_within_block_even_spacing
114,1371095172.0,1371095204.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.0593800544738769,38,run_spanning_complete_raw_blocks_within_block_even_spacing
115,1371095236.0,1371095268.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.073077917098999,38,run_spanning_complete_raw_blocks_within_block_even_spacing
116,1371095364.0,1371095396.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.057906687259674,38,run_spanning_complete_raw_blocks_within_block_even_spacing
117,1371095492.0,1371095524.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.0549984648823738,38,run_spanning_complete_raw_blocks_within_block_even_spacing
118,1371095620.0,1371095652.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.0765895396471023,38,run_spanning_complete_raw_blocks_within_block_even_spacing
119,1371095748.0,1371095780.0,E:\o4a\1371046912\L1_1371091968_1371096064.hdf5,1371091968.0,1371096064.0,L1,O4a,0.0647478699684143,38,run_spanning_complete_raw_blocks_within_block_even_spacing
120,1371332420.0,1371332452.0,E:\o4a\1371046912\L1_1371329536_1371333632.hdf5,1371329536.0,1371333632.0,L1,O4a,0.1034847125411033,42,run_spanning_complete_raw_blocks_within_block_even_spacing
121,1371332484.0,1371332516.0,E:\o4a\1371046912\L1_1371329536_1371333632.hdf5,1371329536.0,1371333632.0,L1,O4a,0.1104539558291435,42,run_spanning_complete_raw_blocks_within_block_even_spacing
122,1371332612.0,1371332644.0,E:\o4a\1371046912\L1_1371329536_1371333632.hdf5,1371329536.0,1371333632.0,L1,O4a,0.0563508495688438,42,run_spanning_complete_raw_blocks_within_block_even_spacing
123,1371332740.0,1371332772.0,E:\o4a\1371046912\L1_1371329536_1371333632.hdf5,1371329536.0,1371333632.0,L1,O4a,0.0741290748119354,42,run_spanning_complete_raw_blocks_within_block_even_spacing
